point_id,t_skin,n_str,h_str,t_str,mass_kg,lambda_1,N_cr_per_mm,meets_target
121,2.25987,5,39.94993,2.65385,1.99333,18.925120,795.7785,True
122,1.83258,5,36.90824,1.42676,1.38490,16.901790,378.9874,True
123,2.64149,5,34.62092,1.64275,1.86394,11.789140,791.6482,True
124,2.74581,3,15.83234,1.86691,1.64993,3.016045,101.1044,False
125,1.67895,3,27.44218,1.76481,1.13545,17.598500,134.8682,False
126,2.1674,3,26.3418,2.58829,1.48939,18.054390,297.6602,False
127,1.86753,2,19.46616,1.02837,1.09400,9.950409,59.0319,False
128,2.09943,5,20.63282,1.38037,1.36523,4.975665,167.7485,False
129,2.90948,5,26.13926,1.084,1.81460,3.277252,294.0757,False
130,2.47325,6,10.04206,2.76833,1.60698,2.028739,152.2043,False
131,1.28922,6,32.04693,2.71983,1.44374,23.097730,245.4410,False
132,2.21233,5,23.67774,1.85558,1.53541,7.809750,308.0988,True
133,1.50914,6,17.15701,2.87822,1.25092,10.954030,186.7064,False
134,2.71711,4,39.55669,2.61829,2.08657,17.619860,894.2621,True
135,2.35276,4,33.75677,1.25517,1.54371,14.733610,485.4928,True
136,2.49411,2,12.12435,1.70743,1.44428,3.298396,46.6115,False
137,1.81262,5,32.10419,2.53074,1.57249,19.908660,431.9819,True
138,2.81061,5,26.80246,1.47785,1.83799,4.816838,389.6431,True
139,1.21467,6,27.91091,1.67888,1.06616,20.152690,179.1038,False
140,1.08604,5,13.80389,1.55017,0.75256,10.820760,50.5008,False
141,1.26837,3,34.03016,1.45642,0.91189,18.300580,60.4677,False
142,1.56869,6,18.53213,1.92563,1.16981,8.863284,169.6691,False
143,1.8773,4,11.92183,1.49821,1.14309,2.434045,40.7446,False
144,1.93184,3,28.7998,2.43907,1.36702,18.536260,216.3995,False
145,1.59031,3,28.91995,1.30499,1.04159,16.791200,109.3573,False
146,1.90745,4,36.72775,2.98253,1.66959,20.461170,359.2780,True
147,2.75846,6,26.56781,2.06819,1.99196,5.436756,565.8961,True
148,1.85056,2,34.86601,2.08218,1.23073,17.952640,103.6289,False
149,1.34218,3,23.3566,1.64528,0.90650,18.104660,70.8832,False
150,2.51672,2,35.15635,2.89683,1.68242,18.019480,261.6316,False
151,1.25367,4,35.74144,1.89436,1.07349,20.323780,101.3199,False
152,2.69558,6,24.76106,1.90675,1.89250,4.556680,442.5904,True
153,1.04696,5,30.61615,2.79709,1.17728,23.732270,99.2277,False
154,1.6466,3,19.05959,1.2178,1.01230,10.713520,77.4492,False
155,2.30236,5,28.11477,1.39175,1.55206,8.677996,385.8712,True
156,2.10902,2,22.87037,2.37102,1.32336,17.396220,148.6415,False
157,2.77153,3,28.39469,1.62192,1.73302,9.702715,334.4820,True
158,1.18825,5,16.52183,2.26592,0.92086,18.493870,113.0458,False
159,1.88683,3,11.18938,1.12239,1.10145,2.382902,25.9194,False
160,2.17815,4,14.80107,2.57116,1.42264,4.066582,106.3246,False
161,1.79176,4,21.94967,2.68657,1.32409,18.266290,265.8463,False
162,1.01415,6,31.18565,2.52466,1.22050,23.923020,123.7426,False
